genes,Symbol,logFC,unshrunk.logFC,logCPM,PValue,FDR
SERPINA9,NA,8.5795466,8.761292483,3.347819719,6.38E-37,1.31E-33
IGLL1,NA,7.572212479,8.098295216,1.014251096,1.00E-17,2.17E-15
LCN1,NA,5.88018124,6.386900065,-0.482634693,2.70E-10,2.32E-08
TCL1A,NA,5.493941055,5.522513971,2.859958586,6.05E-37,1.31E-33
MYBPH,NA,5.430459638,5.719066912,-0.25754744,4.21E-17,8.40E-15
CLEC17A,NA,4.765407541,4.805764921,1.657588118,5.13E-34,7.02E-31
FCER2,NA,4.738833615,4.761617761,2.435459028,1.45E-33,1.85E-30
DGKK,NA,4.730493816,5.088806218,-1.07954067,1.26E-05,0.000560387
FCRLA,NA,4.504968977,4.514062924,3.507090305,3.12E-40,1.28E-36
VPREB3,NA,4.479857685,4.491997449,3.070471311,3.44E-35,6.42E-32
FCRL1,NA,4.411732329,4.434561936,2.110731846,1.11E-27,6.31E-25
CXCR5,NA,4.386442127,4.395497493,3.39475168,2.14E-46,1.47E-42
MS4A1,NA,4.360138138,4.362493063,5.29959377,1.15E-30,8.18E-28
HAO1,NA,4.321298104,4.822647568,-1.691166809,1.15E-07,7.08E-06
CD19,NA,4.216682903,4.227817577,2.932205654,2.44E-38,7.14E-35
FAM129C,NA,4.21050355,4.235638932,1.775966003,1.95E-26,1.03E-23
CD79B,NA,4.170794466,4.17595279,3.984329275,1.35E-46,1.39E-42
BLK,NA,4.103952877,4.113915977,2.978171397,8.73E-32,7.57E-29
CR2,NA,4.087019972,4.088763647,5.45789747,5.73E-22,2.06E-19
RGS13,NA,4.086799332,4.101341007,2.426160123,5.65E-22,2.06E-19
CD79A,NA,3.971260637,3.97197352,6.629682561,3.59E-33,3.68E-30
CD22,NA,3.921745199,3.924842349,4.466263588,1.73E-33,2.09E-30
CCL19,NA,3.921188656,3.924217974,4.497534557,5.88E-29,3.55E-26
RHOXF2B,NA,3.918039888,4.041026464,-0.563470457,9.69E-13,1.13E-10
MEF2B,NA,3.841839021,3.846709575,3.737647158,4.04E-31,3.07E-28
ATP4A,NA,3.737863136,3.738560361,6.426309433,3.97E-06,0.000195121
TNFRSF13B,NA,3.728545797,3.747887553,1.674146607,3.92E-27,2.18E-24
PDILT,NA,3.719297679,3.801176867,-0.2577879,5.43E-08,3.54E-06
TLR10,NA,3.685828158,3.694813417,2.708592485,2.16E-31,1.70E-28
TNFRSF13C,NA,3.636213046,3.649274561,2.131403099,2.08E-30,1.38E-27
PRB4,NA,3.51927455,4.201275911,-2.385248884,5.79E-08,3.76E-06
SPIB,NA,3.480477446,3.482676315,4.513612891,2.48E-17,5.10E-15
FCRL2,NA,3.466460392,3.481679721,1.747487035,4.08E-24,1.86E-21
FCRL3,NA,3.463065914,3.472178907,2.465574979,9.58E-27,5.18E-24
NOX3,NA,3.40532748,5.069497366,-2.800561731,0.000194224,0.006612621
RTL1,NA,3.366276023,3.390496429,1.012895465,6.90E-08,4.43E-06
C4orf7,NA,3.331978108,3.333729834,4.689145775,5.36E-11,5.17E-09
PTPRCAP,NA,3.269150349,3.270173394,5.3987361,4.41E-42,2.26E-38
MYH8,NA,3.253505049,3.531318448,-1.932785267,1.53E-05,0.000666383
TIMD4,NA,3.22150016,3.269475502,-0.031736076,4.45E-15,6.91E-13
RGS21,NA,3.209090647,3.797325848,-2.469107326,6.98E-05,0.002658819
CXCL13,NA,3.206948905,3.20769221,5.794947077,1.07E-20,3.29E-18
CCR7,NA,3.192828307,3.195645532,3.865975284,4.20E-35,7.18E-32
CNR2,NA,3.177003582,3.199723883,0.90817977,1.01E-15,1.75E-13
MYBPC2,NA,3.172228989,3.196395694,0.823385505,1.65E-09,1.30E-07
STAP1,NA,3.149023623,3.164057485,1.452571776,2.37E-21,7.61E-19
LTF,NA,3.103874602,3.10405721,7.712477357,7.88E-11,7.35E-09
ADAM6,NA,3.094470465,3.094474565,13.17922632,1.34E-15,2.25E-13
RAG2,NA,3.092833223,3.454710281,-2.212184555,0.000254636,0.008364268
KIAA0125,NA,3.088668386,3.095220759,2.55729315,1.22E-19,3.24E-17
CD27,NA,3.073126842,3.074833844,4.462456951,4.69E-31,3.44E-28
FAM159A,NA,3.052542805,3.073870022,0.872750212,5.22E-26,2.68E-23
MGC29506,NA,3.022680688,3.023488544,5.486332469,1.86E-18,4.42E-16
SIT1,NA,3.005613841,3.010177059,2.986779105,5.24E-35,8.27E-32
GPR25,NA,3.002924072,3.019009985,1.216216405,4.70E-24,2.10E-21
POU2AF1,NA,2.992805059,2.99348014,5.714019347,3.86E-22,1.50E-19
SNORA16A,NA,2.992141657,3.637019133,-2.595049996,1.65E-06,8.67E-05
FTHL17,NA,2.9917652,4.117401881,-2.797516017,0.001251675,0.033722949
GCG,NA,2.990528981,2.994034637,3.34754825,0.001192674,0.032302903
MAP4K1,NA,2.987980769,2.990314036,3.926846966,6.01E-35,8.81E-32
LILRA4,NA,2.986214104,3.027407123,-0.057654925,3.25E-18,7.33E-16
FCRL4,NA,2.974100753,3.01761627,-0.141008431,8.57E-17,1.64E-14
TBC1D10C,NA,2.94181415,2.945229597,3.334327449,6.52E-47,1.34E-42
LY9,NA,2.898711604,2.903064796,2.944560052,2.10E-24,1.00E-21
LUZP4,NA,2.874468839,3.485434105,-2.610436853,0.000176748,0.006067953
TLR9,NA,2.87366742,2.877860118,2.971798221,1.00E-20,3.11E-18
PLA2G2D,NA,2.869990295,2.872863669,3.508102316,5.91E-14,8.23E-12
C8orf80,NA,2.867937956,2.877608848,1.785937867,1.71E-21,5.85E-19
P2RY8,NA,2.860573147,2.862223604,4.292143412,5.94E-30,3.81E-27
CD37,NA,2.843921511,2.844430467,5.96674552,1.99E-33,2.26E-30
SCARNA1,NA,2.81978245,3.228610684,-2.434926098,2.86E-05,0.001173877
LOC96610,NA,2.786907064,2.78691337,12.23979743,7.05E-15,1.08E-12
TTC24,NA,2.776561717,2.877431585,-1.294515417,3.85E-17,7.75E-15
CD5L,NA,2.769995023,2.968350219,-1.94342946,1.29E-05,0.000569348
FAIM3,NA,2.765952301,2.767096393,4.720126985,9.36E-26,4.69E-23
PNOC,NA,2.764659507,2.777513605,1.287950359,4.35E-17,8.59E-15
AICDA,NA,2.762599445,2.81746511,-0.625116681,2.60E-10,2.25E-08
UMOD,NA,2.753320016,2.999728958,-2.136725685,1.23E-05,0.000548542
WDFY4,NA,2.750200439,2.751248256,4.83015403,6.50E-23,2.67E-20
PDCD1,NA,2.737885893,2.743746466,2.358736509,1.14E-31,9.34E-29
NCF1B,NA,2.721760946,2.730540131,1.773140324,1.25E-20,3.76E-18
NCR3,NA,2.720893519,2.747641523,0.251715611,1.55E-19,4.07E-17
BTLA,NA,2.69749787,2.709794799,1.278539452,1.14E-19,3.09E-17
IL21R,NA,2.694086149,2.697562459,3.054093702,8.85E-32,7.57E-29
FCRL5,NA,2.683419643,2.685603289,3.707170923,1.09E-16,2.04E-14
ACAP1,NA,2.662408542,2.664842743,3.52960037,1.11E-39,3.80E-36
IRF4,NA,2.659368463,2.660903538,4.187099914,2.16E-21,7.03E-19
LTA,NA,2.636592741,2.65228739,0.884587056,1.20E-25,5.89E-23
DHX40P1,NA,2.621347792,2.797982622,-1.942993346,5.04E-05,0.001962926
GIF,NA,2.616998169,2.617217691,6.941266783,0.000514054,0.01531718
NCF1C,NA,2.607079277,2.611721106,2.552982553,3.00E-22,1.19E-19
PAX5,NA,2.588632889,2.591798708,3.078297044,3.75E-09,2.80E-07
ZAP70,NA,2.579995673,2.582439069,3.438050489,1.73E-29,1.08E-26
CHIT1,NA,2.566601508,2.569009616,3.445303886,2.99E-07,1.73E-05
CORO1A,NA,2.558812514,2.559112242,6.430971006,2.42E-37,6.22E-34
FCAMR,NA,2.553064555,2.560190144,1.893716571,5.75E-10,4.74E-08
NCF1,NA,2.546082893,2.54771755,3.977960908,4.48E-28,2.63E-25
SPIC,NA,2.533017104,2.640390083,-1.559442823,9.95E-08,6.19E-06
CD52,NA,2.52611497,2.526671789,5.50428474,8.02E-20,2.23E-17
SASH3,NA,2.525384013,2.526168007,5.011231072,3.51E-32,3.27E-29
KCNA3,NA,2.52157956,2.525307828,2.775094221,1.81E-18,4.42E-16
ZNF683,NA,2.511504591,2.517248999,2.15364059,1.30E-12,1.49E-10
LAX1,NA,2.510010589,2.513095762,3.03170691,4.10E-22,1.56E-19
HLA-DOB,NA,2.509922132,2.513589247,2.785898799,1.65E-15,2.71E-13
C7orf72,NA,2.506553602,3.026520552,-2.707625939,0.001015874,0.02803211
NAPSB,NA,2.504612574,2.507999431,2.8933361,1.66E-19,4.32E-17
1-Sep,NA,2.485239086,2.486643409,4.131396662,3.04E-33,3.28E-30
DERL3,NA,2.476167885,2.476680569,5.570155259,3.63E-13,4.49E-11
LTB,NA,2.454853416,2.455870558,4.562107268,1.05E-17,2.22E-15
SNORD15B,NA,2.450913296,2.482852296,-0.2306825,8.83E-06,0.000409961
UBASH3A,NA,2.432067439,2.43919978,1.765464587,1.40E-22,5.64E-20
DPEP3,NA,2.431835641,2.53877513,-1.61709692,7.00E-08,4.47E-06
TNFRSF17,NA,2.430966093,2.435426531,2.426252681,2.00E-09,1.55E-07
CYP17A1,NA,2.422741407,2.426524597,2.650847598,0.000663287,0.019071812
GNG13,NA,2.421610199,2.464499873,-0.626305097,5.48E-05,0.002116967
CCR4,NA,2.421113158,2.427606678,1.884625721,1.35E-17,2.79E-15
CD6,NA,2.418115191,2.419462867,4.118855619,1.72E-30,1.18E-27
CLECL1,NA,2.41468649,2.437399753,0.168551018,1.11E-15,1.88E-13
MIXL1,NA,2.40831729,2.463417298,-0.941269427,3.08E-10,2.61E-08
P2RY10,NA,2.391970239,2.395669594,2.649486682,1.35E-16,2.49E-14
EBI3,NA,2.388878261,2.39448751,2.057361395,1.92E-20,5.63E-18
MADCAM1,NA,2.386219274,2.390612703,2.400111332,1.92E-08,1.30E-06
GC,NA,2.384013838,2.384777687,4.89813917,0.000567257,0.016708454
XCR1,NA,2.377558079,2.39966778,0.173006607,1.66E-10,1.48E-08
RASAL3,NA,2.370094915,2.371291016,4.238779771,1.21E-32,1.18E-29
TMEM156,NA,2.370060842,2.378512863,1.464465628,1.28E-17,2.68E-15
CALHM1,NA,2.363467442,2.418776955,-0.987004702,8.92E-06,0.000411345
SLAMF6,NA,2.361384293,2.363065008,3.741806472,6.45E-20,1.84E-17
ITGAL,NA,2.358526307,2.359049111,5.416046553,2.32E-23,9.70E-21
GZMM,NA,2.34371591,2.354399976,1.114012464,3.04E-13,3.79E-11
SNORA84,NA,2.343566592,2.617826423,-2.427895553,4.36E-05,0.001708077
KEL,NA,2.338088603,2.361354692,0.070624336,1.73E-07,1.04E-05
GZMK,NA,2.336965063,2.339700561,3.020450433,4.65E-12,4.92E-10
PVALB,NA,2.333686621,2.432094396,-1.612363188,6.99E-07,3.85E-05
SIRPG,NA,2.327245364,2.3307477,2.658572443,3.86E-18,8.61E-16
RHOH,NA,2.317870028,2.319734428,3.547094852,2.91E-20,8.42E-18
TIFAB,NA,2.317486719,2.337667915,0.229423455,1.72E-14,2.60E-12
MEI1,NA,2.316451851,2.320020944,2.619800758,3.50E-15,5.48E-13
GPR174,NA,2.314126088,2.332601534,0.344164802,5.54E-14,7.85E-12
PTGDS,NA,2.299889272,2.300183826,6.178909363,4.43E-12,4.72E-10
GPR15,NA,2.299693126,2.316186362,0.481994529,3.13E-07,1.80E-05
KIAA0748,NA,2.292018877,2.298681122,1.714399945,6.76E-17,1.31E-14
LOC100233209,NA,2.28681068,2.293056417,1.79808621,1.87E-18,4.42E-16
WAS,NA,2.281261698,2.282247906,4.420194179,5.18E-24,2.26E-21
ICAM4,NA,2.275189014,2.283977449,1.3126318,7.50E-09,5.36E-07
FUT7,NA,2.273084659,2.302189993,-0.280481466,4.77E-16,8.45E-14
LOC606724,NA,2.27229509,2.276872724,2.220466525,2.70E-24,1.26E-21
CD3E,NA,2.268488625,2.269092884,5.110315583,1.79E-21,5.95E-19
BFSP2,NA,2.264669699,2.337350784,-1.365347351,4.38E-09,3.22E-07
POU2F2,NA,2.26432158,2.26503523,4.866408593,1.08E-15,1.85E-13
SPACA3,NA,2.258215216,2.493220459,-2.373759419,0.000101677,0.003727539
GRAPL,NA,2.254808138,2.294215283,-0.677961102,1.72E-10,1.54E-08
FGF20,NA,2.253160579,2.287840957,-0.519397269,0.000785367,0.022300942
TMIGD2,NA,2.250610761,2.27396935,-0.025209714,3.05E-12,3.32E-10
TIGIT,NA,2.247651617,2.251256491,2.532342065,2.65E-17,5.38E-15
GPR18,NA,2.247353106,2.256957405,1.160855581,2.16E-15,3.47E-13
TCF23,NA,2.245679976,2.416690722,-2.161129668,0.00036509,0.01134493
BTK,NA,2.245097509,2.247162155,3.322675924,4.70E-16,8.40E-14
C5orf20,NA,2.244088298,2.258125162,0.639437726,1.15E-14,1.74E-12
GAPT,NA,2.243438326,2.247683258,2.2967218,7.53E-12,7.76E-10
ITK,NA,2.238207003,2.239982073,3.531108125,2.04E-16,3.73E-14
CD180,NA,2.235416223,2.237012571,3.679984704,3.60E-14,5.16E-12
TRAT1,NA,2.23387596,2.240275701,1.709464208,3.34E-12,3.59E-10
FCRL6,NA,2.232371079,2.244769841,0.797047558,3.18E-11,3.12E-09
IKZF1,NA,2.232127561,2.232657269,5.260080873,7.19E-19,1.80E-16
CD8A,NA,2.231253907,2.232085388,4.611047789,2.45E-14,3.64E-12
CXCR3,NA,2.22902349,2.231026055,3.349952062,2.21E-19,5.66E-17
FAM65B,NA,2.227597466,2.229036429,3.82012875,1.40E-13,1.82E-11
MYO1G,NA,2.225915732,2.226998608,4.225858987,9.90E-22,3.50E-19
CD5,NA,2.213242855,2.214478944,4.022129525,1.08E-15,1.85E-13
HLA-DQB2,NA,2.207198722,2.209695432,3.011300384,5.96E-10,4.87E-08
TRPC2,NA,2.205490494,2.39974363,-2.26972254,2.23E-05,0.000941747
TRAF3IP3,NA,2.203496159,2.206051452,2.973251177,1.80E-21,5.95E-19
C2orf85,NA,2.198570997,2.296780536,-1.721892302,2.83E-09,2.15E-07
KLHL6,NA,2.196815965,2.19774512,4.413673479,2.42E-16,4.36E-14
RLTPR,NA,2.19450181,2.197013722,2.987259996,1.36E-12,1.55E-10
IGJ,NA,2.190673859,2.190687603,10.47921094,1.11E-05,0.000498889
NKG7,NA,2.184787582,2.185817977,4.25238918,2.64E-13,3.32E-11
TREML1,NA,2.184175502,2.27538866,-1.655830995,5.43E-11,5.20E-09
CCL17,NA,2.177513832,2.202738669,-0.194202041,6.55E-12,6.80E-10
SNORD94,NA,2.175356647,2.291605956,-1.881264672,0.000123204,0.00440658
LOC283663,NA,2.168582,2.172227845,2.431036781,2.95E-10,2.51E-08
LIMD2,NA,2.166193819,2.166736578,5.152677814,1.88E-20,5.60E-18
SPN,NA,2.163493013,2.164321889,4.541123036,2.12E-23,9.06E-21
CPNE5,NA,2.161123609,2.162213028,4.146224904,1.85E-18,4.42E-16
SP140,NA,2.157854718,2.15984584,3.279432637,4.89E-15,7.54E-13
CD247,NA,2.153076816,2.15609143,2.68400894,1.10E-19,3.02E-17
S1PR4,NA,2.15072733,2.153775197,2.666290623,1.42E-15,2.37E-13
SNX20,NA,2.149683669,2.152985521,2.551323402,4.33E-22,1.62E-19
HLA-DOA,NA,2.148924856,2.149385632,5.369364765,2.36E-12,2.62E-10
CRTAM,NA,2.145400627,2.156570515,0.847711329,4.14E-10,3.50E-08
TBX21,NA,2.145317771,2.156341177,0.86324219,2.39E-15,3.81E-13
CD48,NA,2.143766749,2.144410069,4.883667231,1.45E-13,1.87E-11
PPP1R16B,NA,2.143730721,2.144307561,5.040374912,3.04E-18,6.94E-16
LINGO3,NA,2.134213071,2.151768854,0.228548896,4.79E-07,2.68E-05
SH2D1A,NA,2.13169369,2.13569268,2.260214659,2.16E-13,2.75E-11
HLA-DQA1,NA,2.12794457,2.128063329,7.299544133,1.55E-11,1.55E-09
IL9R,NA,2.127402607,2.156529533,-0.425833256,1.93E-13,2.48E-11
GHRL,NA,2.126458916,2.128297201,3.359200064,0.000255745,0.008373924
ARHGAP9,NA,2.120136203,2.121268521,4.045569284,1.34E-21,4.66E-19
CD40LG,NA,2.11138044,2.117798907,1.573330884,1.14E-11,1.15E-09
SLA2,NA,2.110905533,2.114127624,2.543044715,2.91E-18,6.72E-16
CD72,NA,2.110372136,2.113500231,2.584306247,6.63E-14,9.13E-12
PLD4,NA,2.099275949,2.101530137,3.037754374,9.90E-08,6.18E-06
P2RX5,NA,2.097147562,2.099243034,3.140285439,6.70E-13,8.00E-11
CCL5,NA,2.091361563,2.09161387,6.172799274,7.00E-13,8.26E-11
CTSW,NA,2.088987592,2.091174561,3.070545745,1.77E-10,1.56E-08
FAM151A,NA,2.08833838,2.107514533,0.068552568,2.70E-05,0.001112834
SLAMF1,NA,2.085251043,2.089907135,1.993958612,2.42E-16,4.36E-14
PYHIN1,NA,2.085155561,2.089792857,2.001008476,1.16E-10,1.05E-08
SCARNA3,NA,2.082375331,3.108223313,-3.031727358,1.10E-05,0.000497721
PARP15,NA,2.081737672,2.086021806,2.108087487,3.90E-09,2.90E-07
C1orf200,NA,2.077424067,2.138586709,-1.349885723,2.26E-09,1.73E-07
LOC100188949,NA,2.075027076,2.09234945,0.183497473,1.27E-13,1.69E-11
TCL1B,NA,2.068352176,2.167884493,-1.834805777,0.000320195,0.010097714
NCR1,NA,2.06276031,2.119338093,-1.268119157,6.15E-09,4.45E-07
EOMES,NA,2.06199561,2.065884219,2.222522947,2.38E-10,2.06E-08
PVRIG,NA,2.057897243,2.060066077,3.047192674,7.63E-20,2.14E-17
IL10RA,NA,2.054249091,2.054665796,5.408772099,5.43E-17,1.06E-14
HCST,NA,2.046403576,2.04793756,3.529143354,3.29E-14,4.75E-12
ZNF80,NA,2.042927118,2.076480021,-0.684618841,1.16E-08,8.13E-07
SELL,NA,2.037438183,2.038034696,4.873966738,1.44E-10,1.30E-08
IL12B,NA,2.032737605,2.123949925,-1.768014466,6.98E-09,5.03E-07
C16orf54,NA,2.030763276,2.033086319,2.920029918,2.26E-10,1.96E-08
SNORA78,NA,2.029911854,2.967109415,-3.025523855,4.22E-05,0.001660968
IL2RB,NA,2.02980314,2.030181616,5.519919187,4.87E-18,1.08E-15
TMC8,NA,2.027861752,2.028436038,4.917835449,1.02E-17,2.18E-15
IL16,NA,2.023937146,2.024467633,5.027315818,9.54E-17,1.81E-14
GVIN1,NA,2.022277722,2.023545966,3.7741286,6.96E-13,8.26E-11
C14orf53,NA,2.018522151,2.268824488,-2.534881042,0.000787056,0.022318025
CD3D,NA,2.017232637,2.01867686,3.582819107,1.38E-12,1.56E-10
IL12RB1,NA,2.006563871,2.009247312,2.688069462,6.86E-16,1.20E-13
CD274,NA,1.999676176,2.00217017,2.78479287,2.51E-06,0.000126316
TAGAP,NA,1.997487058,1.998476069,4.102879372,2.23E-13,2.82E-11
NLRC3,NA,1.988427883,1.989677011,3.757659628,1.02E-16,1.92E-14
C17orf87,NA,1.98726945,1.991504429,2.020861321,5.03E-11,4.87E-09
GPR31,NA,1.982530886,2.183407493,-2.427055026,1.01E-07,6.26E-06
ADORA2A,NA,1.979451186,1.981387044,3.121494665,1.56E-15,2.58E-13
DOCK2,NA,1.974414074,1.974911569,5.063768134,5.93E-12,6.18E-10
ARHGAP25,NA,1.973445574,1.974288852,4.304304643,2.43E-18,5.68E-16
SIGLEC10,NA,1.972695299,1.973547499,4.288535769,4.90E-10,4.09E-08
GRAP2,NA,1.972598576,1.976482716,2.126362784,3.91E-13,4.81E-11
CEACAM21,NA,1.971934751,1.983944642,0.565071982,2.89E-12,3.16E-10
SLAMF7,NA,1.968691731,1.969047997,5.537867637,5.55E-09,4.03E-07
AMPD1,NA,1.96285907,1.973225189,0.757595267,0.000273641,0.008847008
CCL21,NA,1.962152432,1.962381547,6.166132158,1.33E-05,0.000584156
CD3G,NA,1.960236791,1.963218978,2.485734501,5.44E-11,5.20E-09
CSF2RB,NA,1.959553861,1.959953434,5.362270074,8.08E-13,9.48E-11
BANK1,NA,1.955872055,1.956924055,3.967352485,8.36E-08,5.26E-06
FLT3,NA,1.948269449,1.963781516,0.200186199,1.23E-07,7.49E-06
LSP1,NA,1.94687841,1.947060636,6.478570942,3.39E-19,8.58E-17
ITGAD,NA,1.946018253,1.988280011,-1.04193765,4.91E-05,0.00191828
GRAP,NA,1.944718484,1.946707726,3.043732735,1.31E-13,1.72E-11
PTPRC,NA,1.939699039,1.939862566,6.626391881,8.01E-11,7.44E-09
RBP5,NA,1.938359492,1.943424057,1.714604491,1.39E-09,1.10E-07
PTCRA,NA,1.937053973,2.017741494,-1.73737563,3.98E-09,2.95E-07
CCR5,NA,1.933086097,1.934511588,3.506442418,5.06E-12,5.33E-10
ARHGAP30,NA,1.920118372,1.92054902,5.209391281,9.68E-21,3.06E-18
VAV1,NA,1.91200409,1.913098465,3.860500061,3.19E-12,3.45E-10
HLA-DQB1,NA,1.907774978,1.907869176,7.384855336,2.19E-08,1.48E-06
LPXN,NA,1.906230213,1.906806912,4.77342255,4.55E-14,6.49E-12
DTX1,NA,1.902047333,1.903239185,3.727135509,6.17E-10,5.03E-08
GPR55,NA,1.895701721,1.911835035,0.092221041,7.13E-09,5.12E-07
CXCR6,NA,1.895332758,1.896692313,3.531154146,5.98E-11,5.66E-09
PIM2,NA,1.895134178,1.895375752,6.012936455,9.64E-14,1.30E-11
DOK3,NA,1.89445043,1.895214638,4.355514328,1.32E-13,1.73E-11
PM20D1,NA,1.891011882,1.918793354,-0.601610367,2.70E-05,0.001112834
FAM78A,NA,1.885619211,1.886699034,3.849581531,1.15E-18,2.84E-16
MATK,NA,1.884222694,1.890411406,1.376329092,2.09E-10,1.83E-08
FCRLB,NA,1.880993961,1.888874383,1.038448466,2.08E-06,0.000107233
ANGPTL6,NA,1.879353846,1.890465676,0.573873089,1.09E-06,5.82E-05
FLJ40330,NA,1.876674152,1.879315179,2.563381415,5.10E-06,0.000248293
C1QA,NA,1.875647211,1.875751479,7.201297164,3.87E-11,3.77E-09
CD1C,NA,1.873842666,1.878182587,1.859409921,7.43E-07,4.08E-05
IL21,NA,1.87379826,2.131611966,-2.621045192,0.000210079,0.007062229
LYL1,NA,1.871830377,1.873769791,2.996775517,5.64E-13,6.85E-11
LAG3,NA,1.868937413,1.870166911,3.644848492,2.49E-08,1.68E-06
FGD2,NA,1.865111225,1.866310548,3.675691192,2.00E-14,3.00E-12
IL2,NA,1.86184949,2.128887609,-2.651618069,2.17E-05,0.000917833
ITGB2,NA,1.859744815,1.859909952,6.520038296,1.07E-10,9.69E-09
HCLS1,NA,1.858133721,1.85851911,5.297577453,2.67E-14,3.94E-12
PARVG,NA,1.85136893,1.852461561,3.792959893,2.70E-13,3.37E-11
